turn,player,money,tap
11,0,1655,2578
11,1,1205,1203
12,0,1480,2578
12,1,1380,1203
13,0,1480,2578
13,1,1580,1203
14,0,1480,2578
14,1,1580,1203
15,0,1480,2578
15,1,1580,1203
16,0,1480,2578
16,1,1580,1203
17,0,1955,3453
17,1,730,453
18,0,1955,3453
18,1,730,453
19,0,1955,3453
19,1,730,453
20,0,1955,3453
20,1,730,453
21,0,1955,3453
21,1,730,453
22,0,1955,3453
22,1,730,453
23,0,1955,3453
23,1,730,453
24,0,2070,3640
24,1,730,453
25,0,2070,3640
25,1,730,453
26,0,2070,3640
26,1,730,453
27,0,2070,3640
27,1,930,453
28,0,2070,3640
28,1,930,453
29,0,2076,3640
29,1,924,453
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1350,1148
2,1,1685,1528
3,0,1350,1148
3,1,1685,1528
4,0,1550,1148
4,1,1685,1528
5,0,1550,1148
5,1,1685,1528
6,0,1550,1148
6,1,1685,1528
7,0,1550,1148
7,1,1785,1928
8,0,1550,1148
8,1,1785,1928
9,0,1550,1148
9,1,1785,1928
10,0,1550,1148
10,1,1785,1928
11,0,1550,1148
11,1,1785,1928
12,0,1550,1148
12,1,1785,1928
13,0,1550,1148
13,1,1785,1928
14,0,1550,1148
14,1,1785,1928
15,0,1550,1148
15,1,1785,1928
16,0,1500,1148
16,1,1785,1928
17,0,1500,1148
17,1,1785,1928
18,0,1500,1148
18,1,1785,1928
19,0,1500,1148
19,1,1785,1928
20,0,1250,1148
20,1,2035,3328
21,0,1250,1148
21,1,1985,3328
22,0,1250,1148
22,1,1985,3328
23,0,1250,1148
23,1,1985,3328
24,0,1250,1148
24,1,1985,3328
25,0,1580,1148
25,1,1555,3328
26,0,1580,1148
26,1,1555,3328
27,0,1580,1148
27,1,1555,3328
28,0,1580,1148
28,1,1555,3328
29,0,1910,1148
29,1,1225,2868
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1730,2088
3,1,1255,1203
4,0,1855,2578
4,1,1255,1203
5,0,2231,3650
5,1,405,198
6,0,2231,3650
6,1,405,198
7,0,2231,3650
7,1,405,198
8,0,2231,3650
8,1,405,198
9,0,2231,3650
9,1,605,198
10,0,2231,3650
10,1,605,198
11,0,2231,3650
11,1,605,198
12,0,2414,3676
12,1,605,198
13,0,2424,3676
13,1,595,198
14,0,2424,3676
14,1,595,198
15,0,2424,3676
15,1,595,198
16,0,2424,3676
16,1,595,198
17,0,2424,3676
17,1,595,198
18,0,2424,3676
18,1,595,198
19,0,2424,3676
19,1,595,198
20,0,2424,3676
20,1,595,198
21,0,2424,3676
21,1,795,198
22,0,2424,3676
22,1,795,198
23,0,2424,3676
23,1,795,198
24,0,2613,3694
24,1,795,198
25,0,2613,3694
25,1,795,198
26,0,2613,3694
26,1,795,198
27,0,3408,3872
27,1,0,0
28,0,3408,3872
28,1,0,0
29,0,3408,3872
29,1,0,0
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1550,1148
3,1,1585,1203
4,0,1550,1148
4,1,1585,1203
5,0,1550,1148
5,1,1585,1203
6,0,1550,1148
6,1,1585,1203
7,0,1600,1148
7,1,1635,1528
8,0,1600,1148
8,1,1635,1528
9,0,1600,1148
9,1,1635,1528
10,0,1600,1148
10,1,1635,1528
11,0,1600,1148
11,1,1635,1528
12,0,1600,1148
12,1,1635,1528
13,0,1600,1148
13,1,1635,1528
14,0,1600,1148
14,1,1635,1528
15,0,1600,1148
15,1,1635,1528
16,0,1600,1148
16,1,1635,1528
17,0,1600,1148
17,1,1635,1528
18,0,1600,1148
18,1,1635,1528
19,0,1600,1148
19,1,1635,1528
20,0,1600,1148
20,1,1635,1528
21,0,1600,1148
21,1,1635,1528
22,0,1725,1618
22,1,1635,1528
23,0,1725,1618
23,1,1635,1528
24,0,1725,1618
24,1,1635,1528
25,0,1725,1618
25,1,1635,1528
26,0,1725,1618
26,1,1635,1528
27,0,1725,1618
27,1,1635,1528
28,0,1675,1618
28,1,1685,1528
29,0,1675,1618
29,1,1685,1528
0,0,1550,1148
0,1,1585,1203
1,0,1760,2088
1,1,1225,1203
2,0,1835,2578
2,1,1275,1203
3,0,1835,2578
3,1,1275,1203
4,0,1835,2578
4,1,1275,1203
5,0,1835,2578
5,1,1275,1203
6,0,1835,2578
6,1,1275,1203
7,0,1835,2578
7,1,1275,1203
8,0,1785,2578
8,1,1325,1203
9,0,1785,2578
9,1,1325,1203
10,0,1910,2753
10,1,1325,1203
11,0,1910,2753
11,1,1325,1203
12,0,1710,2753
12,1,1325,1203
13,0,1710,2753
13,1,1325,1203
14,0,1710,2753
14,1,1325,1203
15,0,1710,2753
15,1,1525,1203
16,0,1710,2753
16,1,1525,1203
17,0,1710,2753
17,1,1525,1203
18,0,1710,2753
18,1,1525,1203
19,0,1710,2753
19,1,1525,1203
20,0,1710,2753
20,1,1525,1203
21,0,1710,2753
21,1,1525,1203
22,0,1710,2753
22,1,1525,1203
23,0,2118,3650
23,1,725,453
24,0,2118,3650
24,1,725,453
25,0,2118,3650
25,1,725,453
26,0,2304,3660
26,1,725,453
27,0,2304,3660
27,1,725,453
28,0,2304,3660
